Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
20,10,14,10,24,12,18,25,8,5,3,4,15,15,27,37,0,0,0,1,0,0,0,0,2
20,10,11,12,12,11,7,27,7,1,4,6,8,24,11,33,0,0,0,1,0,0,0,0,1
20,10,15,4,12,10,16,24,5,4,4,2,16,11,18,46,0,0,0,1,0,0,0,0,1
20,10,11,4,24,12,23,25,8,6,5,1,22,9,55,41,0,0,0,1,0,0,0,0,1
19,10,16,1,16,9,22,22,6,7,1,1,19,7,59,17,0,1,0,0,0,0,0,0,2
19,10,15,10,14,11,14,21,5,4,2,5,10,15,8,26,0,1,0,0,0,0,0,0,0
19,10,15,1,16,5,15,15,1,5,0,0,13,3,92,18,0,1,0,0,0,0,0,0,2
19,10,17,5,16,26,40,58,21,11,7,8,44,34,31,24,0,1,0,0,0,0,0,0,1
19,10,10,16,18,27,31,57,28,9,4,14,44,50,7,20,0,1,0,0,0,0,0,0,1
18,10,1,13,20,14,16,29,8,5,1,8,20,26,42,25,0,0,0,0,0,1,0,0,0
17,10,23,15,20,15,14,29,8,3,5,7,13,17,25,49,0,0,0,0,0,0,0,1,0
17,10,23,1,20,14,29,29,8,9,2,3,25,15,52,33,0,0,0,0,0,0,0,1,1
16,10,16,2,19,4,12,16,0,4,0,0,12,2,55,33,0,0,0,0,0,0,1,0,3
16,10,17,11,20,10,14,22,8,4,2,4,13,18,17,51,0,0,0,0,0,0,1,0,1
16,10,22,3,12,13,19,32,12,5,4,4,14,8,44,22,0,0,0,0,0,0,1,0,1
15,10,12,15,18,24,29,44,24,9,2,13,34,44,35,14,0,0,1,0,0,0,0,0,0
15,10,6,1,18,24,44,44,24,13,5,6,38,23,48,35,0,0,1,0,0,0,0,0,1
15,10,23,13,20,13,15,29,8,3,6,4,18,17,37,37,0,0,1,0,0,0,0,0,1
14,10,19,3,20,29,55,59,17,15,10,4,40,24,68,25,0,0,0,0,1,0,0,0,1
14,10,13,15,20,15,17,34,7,5,2,8,17,19,35,41,0,0,0,0,1,0,0,0,1
13,10,12,12,12,11,3,23,3,1,0,10,7,25,20,7,0,0,0,1,0,0,0,0,1
13,10,23,21,23,30,25,66,20,7,4,19,40,68,29,12,0,0,0,1,0,0,0,0,0
12,10,18,20,20,10,4,20,4,1,1,8,9,20,30,11,0,1,0,0,0,0,0,0,0
9,10,16,14,16,9,8,19,5,2,2,5,10,13,50,20,0,0,0,0,0,0,1,0,2
9,10,22,17,20,30,31,56,26,7,10,13,21,31,37,25,0,0,0,0,0,0,1,0,1
9,10,1,3,20,12,23,26,7,7,2,3,13,10,42,25,0,0,0,0,0,0,1,0,3
