Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
4,12,20,4,2,20,16,16,28,34,35,9,8,4,4,10,4,2,24,30,13,15,66,59,37,22,3.0,1.33,0,0,0,0,1,0,Home
21,12,20,12,14,20,18,18,22,19,41,12,5,7,6,5,4,9,14,16,20,28,30,30,49,18,2.83,1.0,1,0,0,0,0,0,Away
15,12,15,10,4,20,17,17,25,31,38,12,6,7,4,9,4,4,20,26,14,14,39,64,46,19,2.33,0.33,0,0,1,0,0,0,Draw
4,12,20,18,16,20,16,16,14,17,35,9,4,2,10,5,2,9,12,14,22,25,37,22,15,29,2.66,0.33,0,0,0,0,1,0,Home
2,12,13,1,6,12,12,12,34,15,34,2,11,1,0,4,3,5,49,13,3,21,59,8,26,51,4.83,1.5,0,0,0,1,0,0,Home
12,5,20,2,7,20,38,38,80,55,93,26,24,8,6,15,10,13,85,47,45,50,68,25,12,11,2.16,0.83,0,0,1,0,0,0,Home
19,5,20,16,1,20,38,38,38,93,93,26,10,8,20,29,6,3,27,108,52,29,14,96,55,14,4.16,2.0,0,0,1,0,0,0,Draw
6,5,19,4,8,20,38,38,77,54,93,26,22,11,5,15,9,14,80,53,47,52,46,39,19,39,3.33,2.0,0,0,0,1,0,0,Home
11,5,18,12,4,20,38,38,47,77,93,26,12,11,15,22,11,5,48,80,59,47,19,46,33,19,1.83,0.5,1,0,0,0,0,0,Draw
11,5,18,3,15,20,38,38,68,42,88,23,20,8,10,11,9,18,62,47,43,60,37,49,30,30,2.16,1.33,1,0,0,0,0,0,Draw
