Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
22,12,15,18,12,18,16,16,11,18,39,11,2,5,9,4,6,6,14,20,37,25,7,27,35,41,4.16,1.83,0,0,1,0,0,0,Away
19,12,18,14,11,18,15,15,15,18,39,10,4,3,8,5,3,7,16,21,21,27,34,42,26,17,2.83,1.16,0,0,0,0,0,1,Away
21,12,18,16,10,18,17,17,12,23,37,10,2,6,9,6,5,6,18,21,27,31,27,14,48,41,2.5,0.83,1,0,0,0,0,0,Draw
10,12,19,7,6,18,15,15,24,25,34,9,6,6,3,7,4,4,24,21,16,20,48,41,27,41,2.33,1.0,0,1,0,0,0,0,Away
22,12,15,16,14,18,16,16,14,15,39,11,4,2,10,4,3,9,11,17,32,23,41,41,14,14,3.0,1.66,0,0,1,0,0,0,Away
15,12,13,3,7,18,16,16,28,24,37,9,6,10,0,6,6,4,25,25,12,19,41,41,62,41,2.66,1.0,0,0,1,0,0,0,Home
23,12,13,16,11,18,17,17,13,22,37,10,3,4,10,6,4,7,15,20,30,26,35,27,20,35,1.0,0.33,0,0,0,1,0,0,Away
23,12,13,12,4,18,17,17,19,31,37,10,5,4,8,7,10,0,22,27,23,12,35,48,20,62,2.0,0.5,0,0,0,1,0,0,Home
5,12,17,2,12,12,10,10,23,1,30,1,7,2,1,0,1,9,29,6,13,51,80,70,20,30,2.83,1.66,0,0,0,0,0,1,Home
15,12,13,9,11,18,16,16,22,22,37,9,5,7,4,6,4,6,33,20,28,23,35,41,48,20,3.5,1.83,0,0,1,0,0,0,Home
15,12,14,8,19,20,18,18,26,16,37,10,7,5,6,3,7,8,26,22,27,29,37,25,37,37,1.83,0.83,0,0,1,0,0,0,Draw
8,12,12,8,13,18,15,15,23,15,34,8,6,5,4,4,3,8,21,15,24,21,35,20,48,20,2.0,0.66,0,0,1,0,0,0,Away
8,12,12,12,18,18,15,15,17,8,34,8,5,2,8,1,5,9,18,14,24,31,51,7,7,29,2.83,1.0,0,0,1,0,0,0,Draw
